client_id,gender,age,income,employment_status,country,target,n_transactions,total_spent,avg_ticket,days_since_last,spent_credit_card,spent_merchant_loan,spent_personal_loan,avg_interest_rate,max_tenor
100567,M,42,41959,Independant,Suisse,0,75,10636,292,312,9765,3228,2482,8.98,54
100155,F,50,25530,Independant,France,0,93,509,359,7,1828,2371,951,3.81,9
101382,M,58,114856,Retraite,Suisse,0,49,19755,491,3,1917,2891,2079,7.86,34
100240,M,34,23748,Retraite,Suisse,0,8,24293,88,111,4234,3756,2717,8.97,27
100151,M,60,117504,Independant,Belgique,0,40,30048,53,238,6988,4225,9692,11.64,30
100095,F,38,118098,Retraite,France,0,74,38392,281,363,2026,94,7311,4.28,18
100185,M,55,33545,Retraite,France,0,35,1515,72,239,3744,2674,18449,4.68,23
100301,M,39,86199,CDD,Belgique,0,23,28212,469,274,9093,1955,768,6.16,38
100082,M,32,54766,Retraite,France,0,65,35461,224,294,9,793,5490,6.2,21
100120,F,38,93530,CDI,France,0,58,8915,145,227,260,1834,15534,11.79,50
100102,M,47,113557,Retraite,France,0,43,46818,254,15,6038,2116,6645,6.01,47
100014,M,64,81087,Retraite,Suisse,0,95,47780,62,192,9865,4106,5232,10.6,49
100784,M,45,115839,Independant,France,0,78,24333,259,119,2219,3325,11485,8.93,7
100094,M,40,88840,CDI,France,1,94,4658,478,28,7041,2919,5797,9.88,40
100945,F,42,74384,Retraite,France,0,23,20809,390,202,2060,2597,19719,13.06,47
100157,M,48,71005,Retraite,France,0,43,7470,130,39,5287,3205,12342,7.85,39
100401,F,50,66576,CDD,Suisse,0,71,7438,268,273,1619,4807,8038,12.25,35
101340,F,49,59353,Retraite,France,0,49,21668,170,231,8512,814,16002,8.06,18
100204,F,53,82003,Retraite,France,0,17,47040,202,86,1342,345,13087,7.25,18
100023,M,39,103211,CDD,Belgique,1,96,20884,355,126,2832,2349,4873,14.5,23
100089,F,25,72733,Independant,France,0,62,18517,114,300,2824,362,1481,5.21,37
100246,M,49,85318,Retraite,France,1,24,10844,478,25,1994,2443,10093,4.08,37
100104,F,31,109474,CDD,France,0,96,40534,393,145,3490,2265,19835,12.25,40
100048,F,33,43664,CDI,France,0,76,9202,419,13,9310,2188,14422,3.82,44
100166,F,48,87172,Independant,France,0,65,884,27,212,7984,3005,16438,13.04,51
100219,F,25,105616,CDI,Belgique,0,43,904,407,25,1604,3281,7643,8.25,57
100099,F,32,113264,CDI,Belgique,0,5,41443,379,68,235,984,19846,13.99,34
100672,F,48,46736,CDD,Belgique,0,7,48426,407,67,1908,1639,15708,11.66,54
100056,F,35,114209,Retraite,Suisse,0,81,29689,203,233,8567,827,11271,10.32,34
101165,F,41,20854,CDD,France,0,96,13263,300,109,3530,2730,17216,14.39,58
100226,M,32,110084,CDD,France,0,66,18884,214,146,5256,3531,12600,7.76,49
100024,M,59,58623,CDD,France,0,67,33106,371,111,2635,4451,10998,14.45,21
100096,F,59,27392,CDD,France,0,29,10360,214,228,8162,2935,14295,4.62,49
100154,F,57,75680,Independant,France,0,60,39257,174,111,9762,3876,10682,8.81,52
100713,F,29,66717,Retraite,France,0,37,15606,112,34,2560,126,16380,6.24,15
100143,M,63,107092,CDI,Belgique,0,42,24074,179,111,5415,3177,8519,9.48,35
100053,F,52,70859,CDI,France,0,10,24024,453,264,3391,3056,19694,4.94,30
100147,M,31,46309,Retraite,France,0,62,4136,80,236,5951,603,3300,13.1,44
100131,M,33,107455,CDI,France,0,48,11416,141,83,5468,3449,6722,13.16,25
100071,M,32,83734,Retraite,France,0,49,5309,70,42,8007,4146,7218,14.46,10
